Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
21-JUL-2023,19800.45,19887.4,19700,19745,312461795,33802.14
24-JUL-2023,19748.45,19782.75,19658.3,19672.35,265562151,24522.29
25-JUL-2023,19729.35,19729.35,19615.95,19680.6,369653496,29665.67
26-JUL-2023,19733.35,19825.6,19716.7,19778.3,244747425,23023.86
27-JUL-2023,19850.9,19867.55,19603.55,19659.9,334891351,35019.13
28-JUL-2023,19659.75,19695.9,19563.1,19646.05,258671382,22995.98
31-JUL-2023,19666.35,19772.75,19597.6,19753.8,295053318,23075.38
01-AUG-2023,19784,19795.6,19704.6,19733.55,298048161,24554.71
02-AUG-2023,19655.4,19678.25,19423.55,19526.55,290666798,23997.47
03-AUG-2023,19463.75,19537.65,19296.45,19381.65,315688612,29899.38
04-AUG-2023,19462.8,19538.85,19436.45,19517,280799561,28086.15
07-AUG-2023,19576.85,19620.45,19524.8,19597.3,216586074,21655.87
08-AUG-2023,19627.2,19634.4,19533.1,19570.85,260294052,25437.47
09-AUG-2023,19578.8,19645.5,19467.5,19632.55,266495074,23201.75
10-AUG-2023,19605.55,19623.6,19495.4,19543.1,312193785,29430.34
11-AUG-2023,19554.25,19557.75,19412.75,19428.3,235524048,24521.24
14-AUG-2023,19383.95,19465.85,19257.9,19434.55,243850815,22767.43
16-AUG-2023,19369,19482.75,19317.2,19465,226627230,21484.66
17-AUG-2023,19450.55,19461.55,19326.25,19365.25,268663456,26505.65
18-AUG-2023,19301.75,19373.8,19253.6,19310.15,256142364,25641.41
21-AUG-2023,19320.65,19425.95,19296.3,19393.6,262589133,20738.75
22-AUG-2023,19417.1,19443.5,19381.3,19396.45,208704354,20226.48
23-AUG-2023,19439.2,19472.05,19366.6,19444,225214991,20167.16
24-AUG-2023,19535.15,19584.45,19369,19386.7,268256859,24338.24
25-AUG-2023,19297.4,19339.55,19229.7,19265.8,466518217,24998.12
28-AUG-2023,19298.35,19366.85,19249.7,19306.05,248178769,18237.22
29-AUG-2023,19374.85,19377.9,19309.1,19342.65,307388116,22501.12
30-AUG-2023,19433.45,19452.8,19334.75,19347.45,233004568,19877.49
31-AUG-2023,19375.55,19388.2,19223.65,19253.8,562557215,45699.54
01-SEP-2023,19258.15,19458.55,19255.7,19435.3,372502191,25962.38
04-SEP-2023,19525.05,19545.15,19432.85,19528.8,396071122,24822.79
05-SEP-2023,19564.65,19587.05,19525.75,19574.9,303958622,24029.89
06-SEP-2023,19581.2,19636.45,19491.5,19611.05,512974083,32500.52
07-SEP-2023,19598.65,19737,19550.05,19727.05,304929822,23591
08-SEP-2023,19774.8,19867.15,19728.05,19819.95,288093693,23530.84
11-SEP-2023,19890,20008.15,19865.35,19996.35,248763130,21924.34
12-SEP-2023,20110.15,20110.35,19914.65,19993.2,328064239,30110.8
13-SEP-2023,19989.5,20096.9,19944.1,20070,251394599,24332.36
14-SEP-2023,20127.95,20167.65,20043.45,20103.1,275111881,21902.65
15-SEP-2023,20156.45,20222.45,20129.7,20192.35,438185104,42681.35
18-SEP-2023,20155.95,20195.35,20115.7,20133.3,264870758,21135.95
20-SEP-2023,19980.75,20050.65,19878.85,19901.4,378065882,37351.58
21-SEP-2023,19840.55,19848.75,19709.95,19742.35,275132260,26711.83
22-SEP-2023,19744.85,19798.65,19657.5,19674.25,246410075,24137.57
25-SEP-2023,19678.2,19734.15,19601.55,19674.55,188398392,20194.48
26-SEP-2023,19682.8,19699.35,19637.45,19664.7,204869058,18118.19
27-SEP-2023,19637.05,19730.7,19554,19716.45,203559874,19659.17
28-SEP-2023,19761.8,19766.65,19492.1,19523.55,352810261,30069.78
29-SEP-2023,19581.2,19726.25,19551.05,19638.3,243508919,20978.72
03-OCT-2023,19622.4,19623.2,19479.65,19528.75,221719625,21459.58
04-OCT-2023,19446.3,19457.8,19333.6,19436.1,277148310,26017.47
